Question,Answer,Weights
What certifications does Prathyush have,"Prathyush holds Azure AI Engineer, Azure Security Engineer, Azure Solutions Architect, and TOGAF Enterprise Architect certifications. He is also a Microsoft Certified Trainer.",0.200000 0.200000 0.200000 0.200000 0.200000
What programming languages does Prathyush know,"Prathyush works primarily with Python and uses PyTorch, Hugging Face Transformers, and various ML/NLP frameworks. He also has experience with Java, JavaScript, Flask, and shell scripting.",0.166667 0.166667 0.166667 0.166667 0.166667 0.166667
What has Prathyush published,"Prathyush has three publications: (1) ACT framework in IEEE Access 2026, (2) CO2 compliance methodology in IEEE Access 2025, and (3) misinformation detection framework at IEEE Big Data 2024.",0.250000 0.250000 0.250000 0.250000
What is ACT,ACT (A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI) is Prathyush's framework for evaluating and controlling trustworthiness in AI systems. Accepted in IEEE Access 2026.,0.333333 0.333333 0.333333
What is CO2 paper,CO2 stands for Co-Compliance Officer. It is an LLM-based ontology-driven methodology for generating knowledge graphs and checking AI compliance. Published in IEEE Access 2025.,0.250000 0.250000 0.250000 0.250000
What is the misinformation paper about,It presents an information reliability framework for detecting misinformation using large language models. Published at IEEE Big Data 2024.,0.166667 0.166667 0.166667 0.166667 0.166667 0.166667
What is trustworthy AI,"Trustworthy AI refers to AI systems that are reliable, safe, fair, transparent, and accountable. Prathyush's ACT framework provides a structured way to evaluate and control these properties.",0.250000 0.250000 0.250000 0.250000
What is controllable AI,"Controllable AI refers to AI systems where users or developers can direct, constrain, or adjust the system's behavior to meet specific requirements for safety, fairness, or compliance.",0.250000 0.250000 0.250000 0.250000
What is AI safety,"AI safety is the field studying how to build AI systems that operate reliably without causing unintended harm. It includes alignment, red-teaming, guardrails, and risk assessment.",0.250000 0.250000 0.250000 0.250000
What is AI alignment,AI alignment is the challenge of ensuring AI systems act in accordance with human values and intentions. It addresses the gap between what we want an AI to do and what it actually does.,0.250000 0.250000 0.250000 0.250000
What is red teaming,Red-teaming in AI means systematically testing a model by simulating adversarial attacks or misuse scenarios. The goal is to find vulnerabilities before deployment.,0.250000 0.250000 0.250000 0.250000
What is a large language model,"A large language model (LLM) is a neural network trained on large text datasets to generate and understand language. Examples include GPT-4, Claude, and Llama. Prathyush researches their safety and evaluation.",0.166667 0.166667 0.166667 0.166667 0.166667 0.166667
What is an LLM,"LLM stands for Large Language Model. It is a deep learning model trained on large text corpora that can generate, summarize, translate, and reason about text.",0.250000 0.250000 0.250000 0.250000
What is RAG,"RAG stands for Retrieval-Augmented Generation. It combines a retrieval system (searching a knowledge base) with a language model to generate answers grounded in specific documents, reducing hallucination.",0.333333 0.333333 0.333333
What is retrieval augmented generation,Retrieval-Augmented Generation (RAG) is a technique that pairs a search/retrieval step with a language model. The model generates responses based on retrieved documents rather than relying solely on its training data.,0.200000 0.200000 0.200000 0.200000 0.200000
What is a knowledge graph,A knowledge graph is a structured representation of entities and their relationships. Prathyush's CO2 paper uses LLMs and ontologies to automatically generate knowledge graphs for AI compliance checking.,0.200000 0.200000 0.200000 0.200000 0.200000
What is ontology engineering,"Ontology engineering is the process of defining formal vocabularies and relationships within a domain. It provides structure for knowledge representation, which Prathyush uses for compliance and knowledge graph construction.",0.250000 0.250000 0.250000 0.250000
What is fine tuning,Fine-tuning is the process of further training a pre-trained model on a specific dataset to improve its performance on a particular task or domain.,0.250000 0.250000 0.250000 0.250000
What is prompt engineering,Prompt engineering is the practice of designing input prompts to guide an LLM toward producing desired outputs. It is a key technique for controlling LLM behavior without retraining.,0.250000 0.250000 0.250000 0.250000
What is hallucination in AI,Hallucination in AI refers to when a language model generates information that sounds plausible but is factually incorrect or unsupported. Prathyush's research addresses detection and mitigation of hallucinations.,0.200000 0.200000 0.200000 0.200000 0.200000
What are guardrails in AI,"Guardrails are constraints or safety mechanisms applied to AI systems to prevent harmful, biased, or inaccurate outputs. They can be rule-based, classifier-based, or built into the model itself.",0.200000 0.200000 0.200000 0.200000 0.200000
What is model evaluation,"Model evaluation is the process of measuring an AI model's performance using metrics, benchmarks, and test datasets. Prathyush's work emphasizes evaluation as a priority over content generation.",0.250000 0.250000 0.250000 0.250000
What is benchmarking,Benchmarking in AI means testing a model against standardized datasets or tasks to compare its performance with other models or baselines.,0.333333 0.333333 0.333333
What is NLP,"NLP stands for Natural Language Processing. It is the subfield of AI focused on enabling computers to understand, interpret, and generate human language.",0.333333 0.333333 0.333333
What is deep learning,"Deep learning is a subset of machine learning using neural networks with many layers. It powers most modern AI systems including LLMs, image recognition, and speech processing.",0.250000 0.250000 0.250000 0.250000
What is PyTorch,"PyTorch is an open-source deep learning framework developed by Meta. Prathyush uses it for model training, fine-tuning, and evaluation in his research.",0.333333 0.333333 0.333333
What is Hugging Face,"Hugging Face is a platform and library for sharing and using pre-trained machine learning models, especially for NLP. Prathyush uses Hugging Face Transformers in his research workflows.",0.250000 0.250000 0.250000 0.250000
What is generative AI,"Generative AI refers to AI systems that create new content (text, images, code, etc.) rather than just classifying or analyzing existing data. LLMs are a type of generative AI.",0.250000 0.250000 0.250000 0.250000
What is an LLM agent,"An LLM agent is an autonomous system that uses a large language model to plan, reason, use tools, and take actions to accomplish tasks. Prathyush benchmarks agents like PentestGPT for cybersecurity.",0.200000 0.200000 0.200000 0.200000 0.200000
What is PentestGPT,PentestGPT is an agentic LLM architecture for automated penetration testing. Prathyush is reproducing and benchmarking PentestGPT v2.0 on the SPHERE infrastructure at USC as part of his Summer 2026 research.,0.333333 0.333333 0.333333
What is HPC,HPC stands for High-Performance Computing. It uses clusters of powerful processors to run large-scale computations. Prathyush uses HPC for AI model training and evaluation.,0.333333 0.333333 0.333333
What is SPHERE,"SPHERE is a research infrastructure at the University of Southern California. Prathyush interned there in Summer 2025 and 2026, benchmarking LLM agents and building reproducible AI-safety workflows.",0.333333 0.333333 0.333333
What is SDSC Expanse,"SDSC Expanse is a supercomputer at the San Diego Supercomputer Center. Prathyush attended the CIML Summer Institute there, training on scalable ML and HPC systems.",0.250000 0.250000 0.250000 0.250000
What is ByteBoost,"ByteBoost 2.0 is an NSF-funded Cybertraining program run by Stony Brook University, Pittsburgh Supercomputing Center, and Texas A&M. It trains researchers on cutting-edge computing technologies such as ACES, Neocortex, and Ookami accelerators. Prathyush was selected to attend with a travel grant in Summer 2026.",0.333333 0.333333 0.333333
What is Ookami,Ookami is an NSF-funded computing testbed at Stony Brook University featuring the A64FX ARM-based processor with ultrahigh-bandwidth memory. It is one of the platforms used in the ByteBoost program.,0.333333 0.333333 0.333333
What is Neocortex,Neocortex is a computing resource at Pittsburgh Supercomputing Center featuring two Cerebras CS-2 systems for accelerating deep learning training and AI-powered scientific discovery. It is one of the ByteBoost training platforms.,0.333333 0.333333 0.333333
What is ACES,ACES is a composable hardware platform at Texas A&M offering five different accelerator types including NVIDIA and Intel GPUs and Graphcore IPUs. It is one of the ByteBoost training platforms.,0.333333 0.333333 0.333333
What is cybersecurity,"Cybersecurity is the practice of protecting systems, networks, and data from digital attacks. Prathyush's research applies AI to threat detection, penetration testing, and digital forensics.",0.333333 0.333333 0.333333
What is penetration testing,Penetration testing (pen-testing) is the practice of simulating cyberattacks on a system to find security vulnerabilities before real attackers do.,0.250000 0.250000 0.250000 0.250000
What is digital forensics,"Digital forensics is the process of collecting, preserving, and analyzing digital evidence from devices and networks, typically for legal or investigative purposes. Prathyush built the DigitalFIRE framework for this.",0.250000 0.250000 0.250000 0.250000
What is DigitalFIRE,"DigitalFIRE is a digital forensics framework Prathyush developed at TTU. It automates evidence collection and analysis using Python, Java, Android Studio, and key encryption.",0.333333 0.333333 0.333333
What is API security,"API security involves protecting application programming interfaces from unauthorized access and attacks. Techniques include authentication tokens, OAuth, SSL/TLS encryption, and API gateway policies.",0.250000 0.250000 0.250000 0.250000
What is OAuth,OAuth is an open standard for access delegation. It allows users to grant third-party applications limited access to their resources without sharing credentials.,0.333333 0.333333 0.333333
What is Azure,"Microsoft Azure is a cloud computing platform offering 200+ services including compute, storage, databases, AI, and networking. Prathyush has extensive Azure architecture experience and multiple Azure certifications.",0.333333 0.333333 0.333333
What is Docker,"Docker is a platform for packaging applications into containers, which are lightweight, portable, and consistent across environments. Prathyush used Docker for API gateway and microservices deployment.",0.333333 0.333333 0.333333
What is Kubernetes,"Kubernetes is an open-source system for automating the deployment, scaling, and management of containerized applications. Prathyush used it at Infosys for microservices orchestration.",0.333333 0.333333 0.333333
What are microservices,"Microservices is an architecture where an application is built as a set of small, independent services that communicate over APIs. Each service handles a specific function and can be deployed separately.",0.333333 0.333333 0.333333
What is CA Layer7,CA Layer7 (now Broadcom) is an API Gateway product. Prathyush set up the Layer7 Gateway and Developer Portal from scratch for the FedEx-TNT API integration at Infosys.,0.250000 0.250000 0.250000 0.250000
What is TOGAF,TOGAF (The Open Group Architecture Framework) is a framework for enterprise architecture. Prathyush is a TOGAF Certified Enterprise Architect.,0.333333 0.333333 0.333333
What conferences has Prathyush reviewed for,Prathyush is a reviewer for IEEE COMPSAC 2026 and served as a sub-reviewer for the DSN'24 Artifact Evaluation Committee.,0.166667 0.166667 0.166667 0.166667 0.166667 0.166667
What talks has Prathyush given,Prathyush gave a 30-minute invited talk at AI Unlocked in Denver (June 2026) on evaluation frameworks for trustworthy and controllable AI.,0.200000 0.200000 0.200000 0.200000 0.200000
What is NSF I-Corps,"NSF I-Corps is a program that trains researchers to evaluate the commercial potential of their research. Prathyush participated as Entrepreneurial Lead for RuseRisk, a cybersecurity startup concept.",0.250000 0.250000 0.250000 0.250000
What is RuseRisk,RuseRisk was Prathyush's startup concept in the NSF I-Corps program. It targeted cybersecurity issues (social engineering) faced by small and medium-sized enterprises.,0.333333 0.333333 0.333333
What grants has Prathyush worked on,"Prathyush contributes to NIH and NSF grant writing, supporting research framing, specific aims, research strategy, technical thrusts, broader impacts, and proposal narratives.",0.166667 0.166667 0.166667 0.166667 0.166667 0.166667
What is adversarial analysis,Adversarial analysis in AI involves crafting inputs designed to fool or exploit a model. It helps identify vulnerabilities and improve model robustness.,0.250000 0.250000 0.250000 0.250000
What is risk modeling,"Risk modeling is the process of quantifying potential risks. In AI, it involves estimating the likelihood and impact of model failures, biases, or security breaches.",0.250000 0.250000 0.250000 0.250000
What is explainable AI,Explainable AI (XAI) refers to techniques that make AI decisions understandable to humans. It helps build trust and supports accountability in AI systems.,0.250000 0.250000 0.250000 0.250000
What is responsible AI,"Responsible AI is the practice of developing and deploying AI systems in ways that are ethical, fair, transparent, and accountable.",0.250000 0.250000 0.250000 0.250000
What is misinformation detection,Misinformation detection uses computational methods to identify false or misleading information. Prathyush's IEEE Big Data 2024 paper presents an LLM-based framework for this task.,0.250000 0.250000 0.250000 0.250000
What is an API,"An API (Application Programming Interface) is a set of rules that allows software applications to communicate with each other. Prathyush has deep experience in API design, security, and gateway management.",0.250000 0.250000 0.250000 0.250000
What is grant writing,Grant writing is the process of preparing proposals to secure research funding from agencies like NSF and NIH. Prathyush contributes to grant writing for his research group.,0.250000 0.250000 0.250000 0.250000
What is CIML,"CIML stands for Cyberinfrastructure-Enabled Machine Learning. It is a summer institute at the San Diego Supercomputer Center focused on scalable ML, data science, and HPC systems. Prathyush attended in June 2026 with a travel grant.",0.333333 0.333333 0.333333
What workshops has Prathyush attended,"Prathyush attended AI Unlocked (Denver, invited speaker with travel grant), ByteBoost 2.0 (Stony Brook, selected with travel grant), CIML Summer Institute (SDSC, selected with travel grant), and workshops by PSC, ALCF, and FutureCon.",0.200000 0.200000 0.200000 0.200000 0.200000
